原句,分（石）,分（林）,bcc总排名,bcc频率,无微博总排名,无微博总频率,排名升降,微博排名,微博频率,,,,,,
渔阳鼙鼓动地来，,1,1,32,55,27,52,5,36,3,,,,bcc频率,无微博总频率,微博
六军不发无奈何，,1,1,35,51,30,51,5,107,0,,,bcc,1,,
宛转蛾眉马前死。,1,1,34,51,29,51,5,106,0,,,无微博,0.754130303,1,
尽日君王看不足。,1,1,84,19,79,19,5,112,0,,,微博,0.87562954,0.343151624,
千乘万骑西南行。,1,1,83,19,78,19,5,110,0,,,,,,
春从春游夜专夜。,1,1,88,18,83,18,5,119,0,,,,,,
西出都门百余里。,1,1,87,18,82,18,5,108,0,,,,,,
不见玉颜空死处。,1,1,86,18,81,18,5,91,0,,,,,,
承欢侍宴无闲暇，,1,1,97,15,92,15,5,120,0,,,,,,
马嵬坡下泥土中，,1,1,96,15,91,15,5,92,0,,,,,,
在地愿为连理枝。,8,9,9,268,5,182,4,7,86,,,,,,
两处茫茫皆不见。,1,1,17,112,13,103,4,27,9,,,,,,
不重生男重生女。,8,2,22,86,18,85,4,64,1,,,,,,
惊破霓裳羽衣曲，,1,1,28,58,24,57,4,63,1,,,,,,
魂魄不曾来入梦。,1,1,53,29,49,29,4,81,0,,,,,,
圣主朝朝暮暮情。,1,1,73,22,69,22,4,97,0,,,,,,
迟迟钟鼓初长夜，,1,1,72,22,68,22,4,83,0,,,,,,
能以精诚致魂魄。,1,1,71,22,67,22,4,79,0,,,,,,
一别音容两渺茫。,1,1,69,22,65,22,4,70,0,,,,,,
姊妹弟兄皆列土，,1,1,79,20,75,20,4,117,0,,,,,,
君臣相顾尽沾衣，,1,1,78,20,74,20,4,90,0,,,,,,
转教小玉报双成。,1,1,81,19,77,19,4,71,0,,,,,,
椒房阿监青娥老。,1,1,90,17,86,17,4,86,0,,,,,,
临邛道士鸿都客，,1,1,89,17,85,17,4,80,0,,,,,,
不见长安见尘雾。,1,1,94,16,90,15,4,43,1,,,,,,
翠华摇摇行复止，,1,1,100,14,96,14,4,109,0,,,,,,
梨花一枝春带雨。,1,1,13,129,10,119,3,25,10,,,,,,
三千宠爱在一身。,8,7,15,121,12,108,3,19,13,,,,,,
忽闻海上有仙山，,1,3,29,57,26,54,3,35,3,,,,,,
对此如何不泪垂。,1,1,31,55,28,51,3,34,4,,,,,,
仙乐风飘处处闻。,2,1,50,31,47,31,3,114,0,,,,,,
蜀江水碧蜀山青，,1,1,49,31,46,31,3,98,0,,,,,,
可怜光彩生门户。,1,1,55,28,52,28,3,116,0,,,,,,
九重城阙烟尘生，,1,1,76,21,73,21,3,111,0,,,,,,
回看血泪相和流。,1,1,75,21,72,21,3,103,0,,,,,,
金屋妆成娇侍夜，,1,1,92,17,89,17,3,118,0,,,,,,
峨嵋山下少人行，,1,1,91,17,88,17,3,100,0,,,,,,
骊宫高处入青云，,1,1,106,13,103,13,3,115,0,,,,,,
西宫南苑多秋草，,1,1,105,13,102,13,3,88,0,,,,,,
排空驭气奔如电，,1,1,104,13,101,13,3,76,0,,,,,,
升天入地求之遍。,1,1,103,13,100,13,3,75,0,,,,,,
金阙西厢叩玉扃，,1,1,102,13,99,13,3,72,0,,,,,,
上穷碧落下黄泉，,2,1,4,407,2,369,2,13,38,,,,,,
芙蓉如面柳如眉，,6,2,16,116,14,100,2,17,16,,,,,,
遂令天下父母心，,1,1,33,52,31,51,2,65,1,,,,,,
悠悠生死别经年，,1,1,36,50,34,48,2,40,2,,,,,,
君王掩面救不得，,1,1,45,34,43,34,2,104,0,,,,,,
夜雨闻铃肠断声。,1,1,44,34,42,34,2,95,0,,,,,,
旌旗无光日色薄。,1,1,47,33,45,33,2,99,0,,,,,,
鸳鸯瓦冷霜华重，,1,1,46,33,44,33,2,82,0,,,,,,
黄埃散漫风萧索，,1,1,66,23,64,23,2,102,0,,,,,,
到此踌躇不能去。,1,1,65,23,63,23,2,93,0,,,,,,
东望都门信马归。,1,1,64,23,62,23,2,89,0,,,,,,
中有一人字太真，,1,1,82,19,80,18,2,55,1,,,,,,
梨园弟子白发新，,1,1,109,12,107,12,2,87,0,,,,,,
养在深闺人未识。,2,6,2,676,1,603,1,8,73,,,,,,
此恨绵绵无绝期。,1,7,5,353,4,188,1,4,165,,,,,,
天长地久有时尽，,1,7,7,280,6,170,1,5,110,,,,,,
天生丽质难自弃，,2,8,8,274,7,167,1,6,107,,,,,,
温泉水滑洗凝脂。,1,1,12,143,11,118,1,14,25,,,,,,
杨家有女初长成，,6,7,18,100,17,88,1,22,12,,,,,,
芙蓉帐暖度春宵。,1,1,21,88,20,76,1,20,12,,,,,,
春寒赐浴华清池，,1,1,23,84,22,69,1,18,15,,,,,,
玉容寂寞泪阑干，,1,1,24,67,23,61,1,32,6,,,,,,
耿耿星河欲曙天。,1,1,52,30,51,29,1,58,1,,,,,,
翡翠衾寒谁与共。,1,1,51,30,50,29,1,57,1,,,,,,
缓歌慢舞凝丝竹，,1,1,59,25,58,25,1,113,0,,,,,,
花钿委地无人收，,1,1,61,24,60,24,1,105,0,,,,,,
蓬莱宫中日月长。,1,1,77,20,76,19,1,45,1,,,,,,
揽衣推枕起徘徊，,1,1,95,15,94,14,1,51,1,,,,,,
含情凝睇谢君王，,1,1,99,14,98,13,1,47,1,,,,,,
回头下望人寰处，,1,1,98,14,97,13,1,44,1,,,,,,
钿合金钗寄将去。,1,1,107,12,106,12,1,68,0,,,,,,
钗擘黄金合分钿。,1,1,110,11,109,11,1,67,0,,,,,,
云栈萦纡登剑阁。,1,1,114,10,113,10,1,101,0,,,,,,
山在虚无缥渺间。,2,1,113,10,112,10,1,74,0,,,,,,
回眸一笑百媚生，,5,6,3,528,3,281,0,2,247,,,,,,
侍儿扶起娇无力，,1,1,25,63,25,55,0,28,8,,,,,,
始是新承恩泽时。,1,1,37,46,37,40,0,33,6,,,,,,
夕殿萤飞思悄然，,1,1,38,39,38,39,0,85,0,,,,,,
其中绰约多仙子。,1,1,39,37,39,37,0,73,0,,,,,,
行宫见月伤心色，,1,1,41,36,41,36,0,96,0,,,,,,
孤灯挑尽未成眠。,1,1,40,36,40,36,0,84,0,,,,,,
雪肤花貌参差是。,1,1,48,31,48,30,0,54,1,,,,,,
玉楼宴罢醉和春。,1,1,56,27,56,26,0,66,1,,,,,,
花冠不整下堂来。,1,1,57,26,57,25,0,48,1,,,,,,
天上人间会相见。,1,3,93,16,93,14,0,37,2,,,,,,
云鬓半偏新睡觉，,1,1,111,11,111,10,0,49,1,,,,,,
惟将旧物表深情，,1,1,115,6,115,6,0,69,0,,,,,,
但教心似金钿坚，,1,1,116,5,116,4,0,41,1,,,,,,
风吹仙袂飘u举，,1,1,117,4,117,2,0,39,2,,,,,,
天旋地转回龙驭，,1,1,120,2,120,2,0,94,0,,,,,,
为感君王辗转思，,1,1,119,2,119,2,0,78,0,,,,,,
遂教方士殷勤觅。,1,1,118,2,118,2,0,77,0,,,,,,
楼阁玲珑五云起，,1,1,54,28,55,27,-1,56,1,,,,,,
归来池苑皆依旧，,1,1,58,25,59,24,-1,61,1,,,,,,
太液芙蓉未央柳。,1,1,60,24,61,23,-1,60,1,,,,,,
九华帐里梦魂惊。,1,1,70,22,71,21,-1,52,1,,,,,,
在天愿作比翼鸟，,8,9,6,334,8,165,-2,3,169,,,,,,
后宫佳丽三千人，,1,4,19,92,21,69,-2,15,23,,,,,,
春风桃李花开夜，,1,1,85,18,87,17,-2,59,1,,,,,,
昭阳殿里恩爱绝，,1,1,108,12,110,11,-2,46,1,,,,,,
珠箔银屏迤逦开。,1,1,112,10,114,9,-2,50,1,,,,,,
翠翘金雀玉搔头。,1,1,67,23,70,22,-3,62,1,,,,,,
闻道汉家天子使，,1,1,63,23,66,22,-3,53,1,,,,,,
犹似霓裳羽衣舞。,1,1,80,19,84,17,-4,38,2,,,,,,
钗留一股合一扇，,1,1,101,13,105,12,-4,42,1,,,,,,
夜半无人私语时。,1,1,10,154,15,95,-5,9,59,,,,,,
七月七日长生殿，,1,2,11,150,16,93,-5,10,57,,,,,,
从此君王不早朝。,2,7,14,123,19,84,-5,12,39,,,,,,
春宵苦短日高起，,1,1,30,57,36,40,-6,16,17,,,,,,
汉皇重色思倾国，,1,1,26,60,33,50,-7,26,10,,,,,,
六宫粉黛无颜色。,1,4,1,1203,9,151,-8,1,1052,,,,,,
一朝选在君王侧。,1,3,27,59,35,47,-8,21,12,,,,,,
御宇多年求不得。,1,1,43,35,54,28,-11,31,7,,,,,,
云鬓花颜金步摇，,1,1,42,35,53,28,-11,30,7,,,,,,
秋雨梧桐叶落时。,1,1,20,89,32,50,-12,11,39,,,,,,
落叶满阶红不扫。,1,1,74,21,95,14,-21,29,7,,,,,,
临别殷勤重寄词，,1,1,68,22,108,11,-40,24,11,,,,,,
词中有誓两心知。,1,1,62,23,104,12,-42,23,11,,,,,,
